date,location,temperature
2023-01-01,New York,32.5
2023-01-02,New York,31.2
2023-01-03,New York,33.7
2023-01-04,New York,36.1
2023-01-05,New York,35.8
2023-01-06,New York,28.9
2023-01-07,New York,27.5
2023-01-01,San Francisco,58.3
2023-01-02,San Francisco,57.9
2023-01-03,San Francisco,59.2
2023-01-04,San Francisco,62.1
2023-01-05,San Francisco,60.5
2023-01-06,San Francisco,61.8
2023-01-07,San Francisco,63.2
2023-01-01,Chicago,22.1
2023-01-02,Chicago,20.8
2023-01-03,Chicago,19.5
2023-01-04,Chicago,21.3
2023-01-05,Chicago,24.7
2023-01-06,Chicago,26.2
2023-01-07,Chicago,23.9
